"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"9199",19,70,"00200","Very well","Other English-based Creole languages"
"9200",28,43,"00200","Very well","Other English-based Creole languages"
"9201",21,23,"00200","Very well","Other English-based Creole languages"
"9202",24,25,"00200","Very well","Other English-based Creole languages"
"9203",12,62,"00305","Not well","Chinese"
"9204",12,64,"00305","Not well","Chinese"
"9205",17,40,"00305","Very well","Tagalog"
"9206",13,35,"00305","Very well","Tagalog"
"9207",12,23,"00308","Well","Ilocano"
"9208",12,62,"00308","Well","Ilocano"
"9209",12,50,"00308","Well","Ilocano"
"9210",11,31,"00304","Very well","Ukrainian"
"9211",15,70,"00303","Very well","Japanese"
"9212",22,47,"00305","Not at all","Thai"
"9213",21,47,"00305","Not at all","Thai"
"9214",26,24,"00305","Not well","Thai"
"9215",13,39,"00306","Well","Other Philippine languages"
"9216",17,31,"00303","Very well","Vietnamese"
"9217",20,39,"00303","Well","Vietnamese"
"9218",15,73,"00303","Not well","Vietnamese"
"9219",15,63,"00303","Not well","Vietnamese"
"9220",17,50,"00303","Not well","Vietnamese"
"9221",20,40,"00303","Well","Vietnamese"
"9222",20,40,"00303","Very well","Vietnamese"
"9223",14,47,"00306","Not at all","Japanese"
"9224",15,8,"00306","Very well","Japanese"
"9225",15,43,"00303","Very well","Russian"
"9226",12,43,"00303","Very well","Russian"
"9227",10,17,"00303","Very well","Russian"
"9228",15,9,"00303","Very well","Russian"
"9229",44,56,"00306","Very well","Tagalog"
"9230",43,54,"00306","Very well","Tagalog"
"9231",68,34,"00308","Very well","Ilocano"
"9232",110,14,"00308","Very well","Ilocano"
"9233",77,12,"00308","Very well","Ilocano"
"9234",26,51,"00303","Very well","Mandarin"
"9235",22,54,"00303","Very well","Mandarin"
"9236",32,19,"00303","Very well","Mandarin"
"9237",33,15,"00303","Very well","Mandarin"
"9238",33,28,"00200","Very well","Dutch"
"9239",4,23,"00200","Very well","Other English-based Creole languages"
"9240",9,53,"00200","Very well","Hawaiian"
"9241",18,48,"00200","Very well","Hawaiian"
"9242",19,26,"00200","Very well","Hawaiian"
"9243",15,20,"00200","Very well","Hawaiian"
"9244",4,43,"00100","Very well","Hawaiian"
"9245",10,74,"00305","Well","Ilocano"
"9246",13,34,"00305","Very well","Ilocano"
"9247",13,65,"00305","Not well","Ilocano"
"9248",31,55,"00100","Very well","Ilocano"
"9249",36,57,"00100","Very well","Ilocano"
"9250",40,27,"00100","Very well","Ilocano"
"9251",28,30,"00303","Very well","Hawaiian"
"9252",18,52,"00307","Very well","Other Philippine languages"
"9253",19,78,"00307","Very well","Other Philippine languages"
"9254",20,76,"00307","Very well","Other Philippine languages"
"9255",21,32,"00306","Very well","Spanish"
"9256",5,52,"00301","Very well","Samoan"
"9257",7,6,"00301","Very well","Samoan"
"9258",6,45,"00301","Very well","Samoan"
"9259",7,77,"00301","Very well","Samoan"
"9260",9,72,"00301","Very well","Samoan"
"9261",15,49,"00307","Very well","Ilocano"
"9262",14,51,"00307","Well","Tagalog"
"9263",17,24,"00307","Very well","Tagalog"
"9264",20,22,"00307","Very well","Filipino"
"9265",17,21,"00307","Very well","Filipino"
"9266",15,73,"00307","Well","Ilocano"
"9267",16,72,"00306","Well","Chinese"
"9268",12,55,"00307","Very well","Japanese"
"9269",23,58,"00200","Very well","Portuguese"
"9270",12,64,"00100","Well","Tagalog"
"9271",14,59,"00100","Well","Tagalog"
"9272",23,31,"00100","Well","Tagalog"
"9273",24,74,"00200","Very well","Spanish"
"9274",13,39,"00304","Very well","Romanian"
"9275",71,35,"00306","Very well","Spanish"
"9276",51,57,"00303","Very well","Hawaiian"
"9277",17,50,"00306","Not at all","Chinese"
"9278",19,18,"00306","Very well","Chinese"
"9279",13,60,"00305","Very well","Cantonese"
"9280",8,65,"00100","Very well","Spanish"
"9281",41,52,"00302","Well","Tongan"
"9282",33,65,"00200","Very well","Hawaiian"
"9283",20,68,"00305","Well","Japanese"
"9284",10,72,"00305","Very well","Other English-based Creole languages"
"9285",9,71,"00305","Very well","Other English-based Creole languages"
"9286",11,52,"00305","Very well","Other English-based Creole languages"
"9287",20,47,"00100","Very well","Korean"
"9288",18,47,"00100","Very well","Korean"
"9289",16,80,"00306","Well","Tagalog"
"9290",19,76,"00306","Very well","Japanese"
"9291",6,78,"00308","Very well","German"
"9292",5,44,"00305","Very well","Hawaiian"
"9293",6,5,"00305","Very well","Hawaiian"
"9294",9,50,"00302","Very well","Hawaiian"
"9295",14,95,"00303","Very well","Chinese"
"9296",34,43,"00307","Not well","Ilocano"
"9297",30,45,"00307","Well","Ilocano"
"9298",39,41,"00307","Well","Ilocano"
"9299",36,27,"00307","Well","Ilocano"
"9300",37,11,"00307","Very well","Ilocano"
"9301",33,62,"00307","Not well","Ilocano"
"9302",39,39,"00307","Well","Ilocano"
"9303",10,61,"00304","Very well","Urdu"
"9304",11,51,"00304","Very well","Urdu"
"9305",14,35,"00303","Well","Indonesian"
"9306",28,71,"00304","Well","Japanese"
"9307",19,50,"00308","Very well","Tagalog"
"9308",20,63,"00308","Very well","Tagalog"
"9309",26,26,"00308","Very well","Tagalog"
"9310",9,66,"00305","Well","Japanese"
"9311",40,69,"00305","Not well","Korean"
"9312",34,69,"00305","Well","Korean"
"9313",45,31,"00305","Very well","Korean"
"9314",21,95,"00308","Well","Filipino"
"9315",27,59,"00308","Well","Tagalog"
"9316",26,55,"00308","Very well","Tagalog"
"9317",15,95,"00305","Very well","Ilocano"
"9318",75,74,"00100","Well","Ilocano"
"9319",64,76,"00100","Well","Ilocano"
"9320",152,40,"00100","Well","Ilocano"
"9321",108,24,"00100","Well","Ilocano"
"9322",159,45,"00100","Well","Ilocano"
"9323",40,64,"00305","Not well","Ilocano"
"9324",38,60,"00305","Not well","Ilocano"
"9325",44,68,"00305","Not at all","Ilocano"
"9326",48,54,"00305","Well","Ilocano"
"9327",15,37,"00307","Well","Korean"
"9328",21,56,"00200","Well","Japanese"
"9329",25,45,"00200","Very well","Japanese"
"9330",21,63,"00301","Well","Tagalog"
"9331",10,10,"00100","Very well","Hawaiian"
"9332",11,50,"00100","Very well","Hawaiian"
"9333",24,72,"00308","Not well","Ilocano"
"9334",24,72,"00308","Not well","Ilocano"
"9335",32,44,"00308","Not well","Ilocano"
"9336",32,41,"00308","Very well","Ilocano"
"9337",16,43,"00307","Well","Tagalog"
"9338",16,42,"00307","Well","Tagalog"
"9339",17,14,"00307","Very well","Tagalog"
"9340",16,65,"00307","Well","Tagalog"
"9341",15,64,"00307","Well","Tagalog"
"9342",38,37,"00304","Very well","Chuukese"
"9343",17,57,"00307","Very well","Korean"
"9344",6,73,"00306","Well","Other and unspecified languages"
"9345",24,54,"00100","Well","Portuguese"
"9346",17,46,"00305","Very well","Cherokee"
"9347",25,18,"00305","Very well","German"
"9348",22,7,"00305","Very well","Spanish"
"9349",29,50,"00308","Very well","Japanese"
"9350",40,58,"00200","Very well","Other English-based Creole languages"
"9351",16,50,"00304","Well","Chinese"
"9352",17,49,"00304","Well","Chinese"
"9353",22,14,"00304","Very well","Chinese"
"9354",23,82,"00302","Very well","Filipino"
"9355",25,44,"00302","Very well","Tagalog"
"9356",39,28,"00308","Very well","Japanese"
"9357",32,63,"00304","Well","Japanese"
"9358",32,58,"00304","Very well","Japanese"
"9359",49,32,"00304","Very well","Japanese"
"9360",15,95,"00302","Very well","Japanese"
"9361",14,92,"00302","Not well","Japanese"
"9362",40,74,"00306","Well","Ilocano"
"9363",25,71,"00305","Not well","Ilocano"
"9364",35,47,"00305","Very well","Ilocano"
"9365",33,50,"00305","Very well","Ilocano"
"9366",10,74,"00306","Well","Tagalog"
"9367",10,65,"00306","Well","Ilocano"
"9368",12,53,"00306","Well","Filipino"
"9369",12,52,"00306","Well","Filipino"
"9370",10,21,"00306","Well","Filipino"
"9371",16,86,"00200","Very well","Japanese"
"9372",53,64,"00305","Not well","Ilocano"
"9373",3,79,"00301","Very well","Hawaiian"
"9374",41,54,"00307","Well","Ilocano"
"9375",46,49,"00307","Very well","Ilocano"
"9376",10,34,"00100","Very well","German"
"9377",23,56,"00304","Well","Japanese"
"9378",8,66,"00200","Very well","Chamorro"
"9379",11,64,"00200","Very well","Ilocano"
"9380",13,36,"00200","Very well","Other English-based Creole languages"
"9381",30,45,"00301","Very well","Spanish"
"9382",20,84,"00304","Well","Japanese"
"9383",27,59,"00304","Well","Japanese"
"9384",23,85,"00301","Very well","Hawaiian"
"9385",23,46,"00301","Very well","Hawaiian"
"9386",23,37,"00100","Very well","Russian"
"9387",16,37,"00100","Very well","Russian"
"9388",18,16,"00100","Very well","Russian"
"9389",27,13,"00100","Very well","Russian"
"9390",3,58,"00200","Very well","Hawaiian"
"9391",3,62,"00200","Very well","Hawaiian"
"9392",9,32,"00308","Very well","Chuukese"
"9393",58,88,"00200","Well","Ilocano"
"9394",67,62,"00200","Very well","Ilocano"
"9395",44,52,"00200","Very well","Ilocano"
"9396",58,34,"00200","Very well","Other Philippine languages"
"9397",16,81,"00302","Not well","Korean"
"9398",8,79,"00307","Well","Ilocano"
"9399",7,58,"00307","Very well","Ilocano"
"9400",26,37,"00304","Very well","German"
"9401",18,52,"00306","Very well","Cantonese"
"9402",16,57,"00200","Very well","Chinese"
"9403",27,31,"00307","Very well","Hawaiian"
"9404",19,14,"00307","Very well","Hawaiian"
"9405",18,12,"00307","Very well","Hawaiian"
"9406",31,9,"00307","Very well","Hawaiian"
"9407",18,7,"00307","Very well","Hawaiian"
"9408",8,70,"00304","Well","Japanese"
"9409",12,32,"00200","Well","Other English-based Creole languages"
"9410",18,18,"00200","Very well","Other English-based Creole languages"
"9411",26,13,"00200","Well","Other English-based Creole languages"
"9412",18,12,"00200","Well","Other English-based Creole languages"
"9413",18,10,"00200","Well","Other English-based Creole languages"
"9414",18,7,"00200","Very well","Other English-based Creole languages"
"9415",26,5,"00200","Very well","Other English-based Creole languages"
"9416",13,69,"00304","Well","Vietnamese"
"9417",15,68,"00306","Very well","Ilocano"
"9418",14,60,"00306","Very well","Ilocano"
"9419",14,51,"00307","Not well","Tagalog"
"9420",40,63,"00301","Very well","Samoan"
"9421",62,38,"00301","Very well","Samoan"
